timestamp,open,high,low,close,volume
2019-06-20,23.06,23.25,22.46,22.51,2519285.0
2019-06-19,22.67,23.03,22.3,22.4,2708118.0
2019-06-18,22.03,23.09,21.68,22.54,4551096.0
2019-06-17,21.53,21.99,21.2,21.65,3228856.0
2019-06-14,21.5,22.14,21.3,21.73,3210693.0
2019-06-13,21.31,21.9017,21.1,21.8,2923801.0
2019-06-12,21.5,21.64,21.08,21.17,2638542.0
2019-06-11,22.4,22.5,21.66,21.67,3015195.0
2019-06-10,21.59,22.1128,21.56,21.58,3989884.0
2019-06-07,21.53,21.63,20.92,21.44,3970859.0
2019-06-06,21.45,21.98,21.21,21.57,4244678.0
2019-06-05,22.02,22.05,21.04,21.37,5820479.0
2019-06-04,21.67,22.23,21.48,21.89,3593527.0
2019-06-03,21.05,21.67,20.82,21.51,3181047.0
2019-05-31,21.26,21.37,21.02,21.19,2720980.0
2019-05-30,22.41,22.47,21.5,21.62,3409992.0
2019-05-29,22.23,22.51,21.95,22.46,2260972.0
2019-05-28,23.04,23.12,22.415,22.55,3632871.0
2019-05-24,23.45,23.6,22.97,23.01,3783350.0
2019-05-23,23.9,23.9,23.0656,23.24,3338134.0
2019-05-22,24.6,24.75,24.04,24.24,2198802.0
2019-05-21,24.29,24.865,23.89,24.74,2769550.0
2019-05-20,24.33,24.88,23.85,23.99,3289158.0
2019-05-17,24.6,25.0,24.35,24.5,3227229.0
2019-05-16,25.13,25.235,24.67,24.98,2237916.0
2019-05-15,24.64,25.14,24.5327,25.01,2739687.0
2019-05-14,24.79,25.47,24.7,25.01,4318486.0
2019-05-13,24.33,24.65,23.97,24.54,4366983.0
2019-05-10,24.73,25.31,24.27,25.04,3551071.0
2019-05-09,24.4,24.9,23.88,24.81,2633776.0
2019-05-08,25.03,25.43,24.67,24.69,3303995.0
2019-05-07,25.61,25.72,25.0,25.18,4020345.0
2019-05-06,25.95,26.0,25.28,25.91,4081509.0
2019-05-03,26.23,26.83,26.05,26.68,3376187.0
2019-05-02,25.88,26.38,25.719,25.93,2917145.0
2019-05-01,26.7,27.1,25.98,26.0,3682363.0
2019-04-30,26.71,27.02,26.37,26.68,3269968.0
2019-04-29,26.82,26.94,26.48,26.85,2298626.0
2019-04-26,27.05,27.25,26.84,26.91,2257674.0
2019-04-25,28.04,28.04,27.01,27.11,3153435.0
2019-04-24,28.49,28.54,27.75,28.12,3391188.0
2019-04-23,28.08,28.92,28.08,28.53,4784786.0
2019-04-22,26.52,28.24,26.52,28.14,6241169.0
2019-04-18,27.36,27.41,25.71,26.66,9476158.0
2019-04-17,27.98,28.59,27.67,27.72,5015985.0
